name,LM Main Class,LM Subclass
Plasmenyl-PE(P-16:0/22:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/22:2),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/22:4),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/22:5),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/22:6),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:0/16:0),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:0/18:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:0/20:3),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:0/22:2),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:0/22:3),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:0/22:5),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:0/22:6),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/17:0),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/17:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/18:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/20:3),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/20:4),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/20:5),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/22:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/22:3),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/22:4),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/22:5),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-18:1/22:6),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-20:0/16:0),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-20:0/18:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-20:0/22:6),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-20:1/18:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-20:1/20:5),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-20:1/22:3),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PS(P-18:0/22:0),Glycerophosphoserines,"1-(1Z-alkenyl),2-acylglycerophosphoserines"
Plasmenyl-PS(P-20:0/20:1),Glycerophosphoserines,"1-(1Z-alkenyl),2-acylglycerophosphoserines"
Plasmenyl-PS(P-20:0/20:3),Glycerophosphoserines,"1-(1Z-alkenyl),2-acylglycerophosphoserines"
Plasmenyl-PS(P-20:0/24:1),Glycerophosphoserines,"1-(1Z-alkenyl),2-acylglycerophosphoserines"
Plasmenyl-PS(P-20:0/26:0),Glycerophosphoserines,"1-(1Z-alkenyl),2-acylglycerophosphoserines"
Plasmenyl-PS(P-20:1/22:5),Glycerophosphoserines,"1-(1Z-alkenyl),2-acylglycerophosphoserines"
PS(16:0_18:1),Glycerophosphoserines,Diacylglycerophosphoserines
PS(16:0_20:1),Glycerophosphoserines,Diacylglycerophosphoserines
PS(17:0_23:0),Glycerophosphoserines,Diacylglycerophosphoserines
PS(18:0_18:1),Glycerophosphoserines,Diacylglycerophosphoserines
PS(18:0_20:3),Glycerophosphoserines,Diacylglycerophosphoserines
PS(18:0_22:4),Glycerophosphoserines,Diacylglycerophosphoserines
PS(18:0_22:5),Glycerophosphoserines,Diacylglycerophosphoserines
PS(18:1_18:1),Glycerophosphoserines,Diacylglycerophosphoserines
PS(18:1_22:1),Glycerophosphoserines,Diacylglycerophosphoserines
PS(18:1_24:1),Glycerophosphoserines,Diacylglycerophosphoserines
PS(18:2_24:1),Glycerophosphoserines,Diacylglycerophosphoserines
PS(19:0_20:4),Glycerophosphoserines,Diacylglycerophosphoserines
SM(d16:0/18:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d16:1/24:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d16:1/24:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d17:1/18:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d17:1/24:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:0/16:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:0/16:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:0/24:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:1/12:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:1/16:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:1/17:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:1/18:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:1/18:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:1/24:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:1/24:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:1/26:0),Phosphosphingolipids,Ceramide phosphocholines
